id,national_document,name,lastname,job,department_id,phone,email,location_id,active,created_at,updated_at
1,723369915,Jessica Lee,Murray,Press photographer,4,714.503.1184,guerrakayla@example.net,48,False,2021-12-13 19:35:38.336154,2025-02-02 19:10:14.687553
2,240751754,Peter Owens,Horton,Commercial art gallery manager,1,+1-401-455-5313x16740,williamsshannon@example.com,9,True,2023-11-01 11:11:19.640255,2025-01-17 05:27:26.684941
3,260048599,Joseph Evans,Moore,"Pharmacist, community",7,+1-685-399-5828x85940,robertwolfe@example.org,45,False,2022-01-03 02:25:48.325367,2025-01-09 02:05:46.361445
4,173165019,Carly Williams,Anderson,"Horticulturist, commercial",7,(963)387-1292,bhernandez@example.net,32,False,2024-10-17 13:20:15.742912,2025-01-13 07:17:37.712217
5,843709370,James Peters,Snyder,Chief Marketing Officer,9,001-702-336-6497x000,zjenkins@example.net,14,False,2021-08-07 14:37:12.932468,2025-01-13 10:25:10.579027
6,422964521,Jonathan Lewis,Blevins,Retail manager,4,(216)647-3758,kristinjohnson@example.com,27,True,2023-11-17 01:46:17.971297,2025-01-21 10:45:07.920048
7,207814448,Brandon Cannon,Smith,"Scientist, product/process development",10,(838)605-9134,stephanieschultz@example.net,36,True,2021-06-07 12:42:16.515378,2025-01-02 07:07:29.480716
8,807223402,Andrew Garcia,Ortiz,Airline pilot,4,001-289-459-1750x0706,qstafford@example.net,14,True,2022-03-06 05:28:23.642065,2025-01-30 22:00:27.365974
9,29413224,Brian Hardin,Perez,"Engineer, materials",4,(259)705-9920x8178,samanthamcguire@example.net,35,True,2024-08-13 14:32:16.850548,2025-02-03 03:12:39.563772
10,581011638,Joanna Silva,Brown,"Buyer, retail",7,(355)362-8460,zbass@example.org,10,False,2023-12-07 15:18:16.551278,2025-01-19 05:55:13.778624
11,571197117,Rachel Ramirez,Diaz,Acupuncturist,4,(640)259-6772x3637,ibrooks@example.com,16,True,2025-01-31 12:01:56.659631,2025-01-11 16:15:42.291863
12,362028961,Aaron Carlson,Perez,"Education officer, museum",5,3748817593,adammorales@example.net,6,True,2024-12-11 03:25:47.742087,2025-01-03 13:38:38.542595
13,138614807,Rachel Barber,Sanders,"Nurse, adult",5,001-760-395-2518x552,jacob07@example.org,40,True,2021-08-03 09:05:36.774522,2025-01-02 09:56:54.401556
14,853734628,Dr. Willie Bird,Mendoza,"Psychotherapist, dance movement",8,(616)804-9274x07912,egarcia@example.org,40,False,2021-01-09 20:27:05.143914,2025-01-11 14:15:01.577724
15,435248039,Crystal Hooper,Norman,Textile designer,2,(591)214-3330x9018,frank94@example.com,26,False,2023-07-29 06:54:15.861574,2025-02-01 01:12:04.528646
16,118323798,Sheila Jackson,Forbes,Holiday representative,8,+1-661-315-5727x4262,harringtonsarah@example.com,10,False,2023-11-17 03:53:21.598559,2025-01-05 09:35:34.538497
17,261961925,Cynthia Johnson,Mendez,Control and instrumentation engineer,2,792.665.6189x4648,krogers@example.net,7,True,2020-05-01 19:58:16.552523,2025-02-03 16:16:28.902882
18,111547519,Brittney Rowe,Turner,Teaching laboratory technician,5,(633)991-9351x7879,thodges@example.net,10,False,2024-01-15 05:10:24.047938,2025-01-14 19:44:57.802039
19,704648125,Christopher Villegas,Rodriguez,Ophthalmologist,9,+1-344-522-7229x01192,georgerodgers@example.org,28,True,2024-11-28 21:53:14.341134,2025-01-11 16:07:36.610038
20,312873219,James Mays,Marshall,Research scientist (life sciences),3,(783)299-1056,sgiles@example.org,2,False,2020-08-10 02:12:45.569828,2025-02-04 04:43:05.378338
21,143817537,Rachel Johnson,Reed,Management consultant,5,809.763.0103x861,rebecca10@example.org,47,True,2023-10-18 02:39:51.720768,2025-01-22 19:37:13.557746
22,176519625,Bernard Davis,Taylor,Architectural technologist,4,7274762298,eallen@example.net,31,False,2020-12-24 21:01:31.660054,2025-01-03 04:20:00.857118
23,33734309,Victoria Johnson,Perez,International aid/development worker,9,450.388.7337,millercolleen@example.net,36,True,2023-10-14 01:16:39.369954,2025-01-05 12:14:57.292335
24,92653740,Nicholas Coleman,Sherman,"Engineer, electrical",8,(282)314-2477x177,jason45@example.org,50,True,2023-10-08 11:45:54.573385,2025-01-15 23:13:15.253531
25,694906332,John Butler,Gordon,"Sales professional, IT",1,(239)270-1604x3820,jenniferyoung@example.com,10,False,2023-10-03 05:18:34.784740,2025-01-07 11:20:26.986993
26,812525523,Stephanie Nelson,Richardson,Waste management officer,8,225-323-8162x510,jstrong@example.net,2,True,2024-04-16 23:46:34.122483,2025-01-19 14:36:39.710235
27,391198045,Walter Anderson,Wilkins,Fish farm manager,10,(813)995-6589x77569,williamsbryan@example.org,44,False,2020-04-28 06:47:30.586145,2025-02-03 08:20:38.695733
